iata	airport	city	country	prominent
MYP	Mary	Mary	Turkmenistan	false
MYQ	Mysore	Mysore	India	false
MYR	Myrtle Beach AFB	Myrtle Beach	United States	false
MYT	Myitkyina	Myitkyina	Myanmar	false
MYU	Ellis Field	Mekoryuk	United States	false
MYV	Yuba County	Marysville	United States	false
MYW	Mtwara	Mtwara	Tanzania	false
MYX	Menyamya	Menyamya	Papua New Guinea	false
MYY	Miri	Miri	Malaysia	false
MYZ	Monkey Bay	Monkey Bay	Malawi	false
MZB	Mocimboa Praia	Mocimboa Praia	Mozambique	false
MZC	Mitzic	Mitzic	Gabon	false
MZD	Mendez	Mendez	Ecuador	false
MZE	Manatee	Manatee	Belize	false
MZF	Mzamba(Wild Coast Sun)	Mzamba(Wild Coast Sun)	South Africa	false
MZG	Makung	Makung	Taiwan	false
MZH	Merzifon	Merzifon	Turkey	false
MZI	Mopti	Mopti	Mali	false
MZJ	Marana	Marana	United States	false
MZK	Marakei	Marakei	Kiribati	false
MZL	Santaguida	Manizales	Colombia	false
MZM	Frescaty	Metz	France	false
MZN	Minj	Minj	Papua New Guinea	false
MZO	Sierra Maestra	Manzanillo	Cuba	false
MZP	Motueka	Motueka	New Zealand	false
MZQ	Mkuze	Mkuze	South Africa	false
MZR	Mazar-i-sharif	Mazar-i-sharif	Afghanistan	false
MZS	Mostyn	Mostyn	Malaysia	false
MZT	Gen Rafael Buelna	Mazatlan	Mexico	false
MZU	Muzaffarpur	Muzaffarpur	India	false
MZV	Mulu	Mulu	Malaysia	false
MZW	Mechria	Mechria	Algeria	false
MZX	Mena	Mena	Ethiopia	false
MZY	Mossel Bay	Mossel Bay	South Africa	false
MZZ	Marion	Marion	United States	false
NAA	Narrabri	Narrabri	Australia	false
NAB	Albany NAS	Albany	United States	false
NAC	Naracoorte	Naracoorte	Australia	false
NAD	Macanal	Macanal	Colombia	false
NAE	Natitingou	Natitingou	Benin	false
NAF	Banaina	Banaina	Indonesia	false
NAG	Dr. Ambedkar International	Nagpur	India	true
NAH	Naha	Naha	Indonesia	false
NAI	Annai	Annai	Guyana	false
NAJ	Nakhichevan	Nakhichevan	Azerbaijan	false
NAK	Nakhon Ratchasima	Nakhon Ratchasima	Thailand	false
NAL	Nalchik	Nalchik	Russia	true
NAM	Namlea	Namlea	Indonesia	false
NAN	Nadi International	Nadi	Fiji	false
NAO	Nanchong	Nanchong	China	false
NAP	Capodichino	Napoli	Italy	true
NAQ	Qaanaaq	Qaanaaq	Greenland	false
NAR	Nare	Nare	Colombia	false
NAS	Nassau International	Nassau	Bahamas	false
NAT	Augusto Severo	Natal	Brazil	false
NAU	Napuka Island	Napuka Island	French Polynesia	false
NAV	Nevsehir	Nevsehir	Turkey	false
NAW	Narathiwat	Narathiwat	Thailand	false
NAX	Kalaeloa John Rodgers Field	Kapolei	United States	false
NAY	Nanyuan Airport	Beijing	China	false
NAZ	Nana	Star Habour	Solomon Islands	false
NBA	Nambaiyufa	Nambaiyufa	Papua New Guinea	false
NBB	Barrancominas	Barrancominas	Colombia	false
NBC	Begishevo	Naberevnye Chelny	Russia	true
NBE	Hammamet	Enfidha	Tunisia	true
NBG	NAS/Alvin Callendar	New Orleans	United States	false
NBH	Nambucca Heads	Nambucca Heads	Australia	false
NBL	San Blas	San Blas	Panama	false
NBO	Jomo Kenyatta International	Nairobi	Kenya	true
NBP	Battery Pk City/N. Cov	New York	United States	false
NBS	Changbaishan	Baishan	China	false
NBU	NAS	Glenview	United States	false
NBV	Cana Brava	Cana Brava	Brazil	false
NBW	Guantanamo NAS	Guantanamo	Cuba	false
NBX	Nabire	Nabire	Indonesia	false
NCA	North Caicos	North Caicos	Turks and Caicos Islands	false
NCE	Cote d'Azur International Airport	Nice	France	true
NCG	Nueva Casas Grandes	Paloma Grande	Mexico	false
NCH	Nachingwea	Nachingwea	Tanzania	false
NCI	Necocli	Necocli	Colombia	false
NCJ	Sunchales	Sunchales	Argentina	false
NCL	Newcastle Airport	Newcastle	United Kingdom	true
NCN	New Chenega	New Chenega	United States	false
NCO	NAS	Quonset Point	United States	false
NCP	Cubi Pt NAS	Luzon Island	Philippines	false
NCQ	Atlanta NAS	Marietta	United States	false
NCR	San Carlos	San Carlos	Nicaragua	false
NCS	Newcastle	Newcastle	South Africa	false
NCT	Guanacaste	Nicoya	Costa Rica	false
NCU	Nukus	Nukus	Uzbekistan	false
NCY	Annecy-Meythe	Annecy	France	false
NDA	Bandanaira	Bandanaira	Indonesia	false
NDB	Nouadhibou	Nouadhibou	Mauritania	false
NDC	Nanded	Nanded	India	false
NDD	Sumbe	Sumbe	Angola	false
NDE	Mandera	Mandera	Kenya	false
NDF	Ndalatandos	Ndalatandos	Angola	false
NDG	Qiqihar	Qiqihar	China	false
NDH	CZ Bus Station	Shunde	China	false
NDI	Namudi	Namudi	Papua New Guinea	false
NDJ	N'Djamena	N'Djamena	Chad	false
NDK	Namdrik Island	Namdrik Island	Marshall Islands	false
NDL	Ndele	Ndele	Central African Republic	false
NDM	Mendi	Mendi	Ethiopia	false
NDN	Nadunumu	Nadunumu	Papua New Guinea	false
NDO	La Palma Del Condado	La Palma Del Condado	Spain	false
NDP	Ellyson NAS	Pensacola	United States	false
NDR	Nador	Nador	Morocco	false
NDS	Sandstone	Sandstone	Australia	false
NDU	Rundu	Rundu	Namibia	false
NDV	USN Heliport	Anacostia	United States	false
NDY	Sanday	Sanday	United Kingdom	false
NEA	Brunswick Golden Isles	Glynco	United States	false
NEC	Necochea	Necochea	Argentina	false
NEF	Neftekamsk	Neftekamsk	Russia	false
NEG	Negril	Negril	Jamaica	false
NEJ	Nejjo	Nejjo	Ethiopia	false
NEK	Nekemt	Nekemt	Ethiopia	false
NEL	Naec	Lakehurst	United States	false
NEN	Whitehouse NOLF	Whitehouse	United States	false
NER	Neryungri	Neryungri	Russia	false
NES	East 34th St Landing	New York	United States	false
NET	New Bight	New Bight	Bahamas	false
NEU	Sam Neua	Sam Neua	Laos	false
NEV	Vance Winkworth Amory International	Nevis	Saint Kitts and Nevis	false
NEW	Lakefront	New Orleans	United States	false
NFB	Detroit NAF	Mt Clemens	United States	false
NFF	CZ Bus Station	Nanhai	China	false
NFG	Nefteyugansk	Nefteyugansk	Russia	false
NFL	NAS	Fallon	United States	false
NFO	Mata'aho	Niuafo'ou	Tonga	false
NFR	Nafoora	Nafoora	Libya	false
NGA	Young	Young	Australia	false
NGB	Lishe International Airport	Ningbo	China	true
NGC	North Rim	Grand Canyon	United States	false
NGD	Captain Auguste George	Anegada	British Virgin Islands	false
NGE	Ngaoundere	Ngaoundere	Cameroon	false
NGI	Ngau Island	Ngau Island	Fiji	false
NGK	Nogliki	Nogliki	Russia	false
NGL	Ngala Airfield	Ngala	South Africa	false
NGN	Nargana	Nargana	Panama	false
NGO	Chubu Centrair International	Nagoya	Japan	true
NGP	NAS	Corpus Christi	United States	false
NGQ	Ngari Gunsa/Ali Kunsha	Shiquanhe	China	false
NGR	Ningerum	Ningerum	Papua New Guinea	false
NGS	Nagasaki	Nagasaki	Japan	false
NGU	NAS Chambers	Norfolk	United States	false
NGW	Cabaniss Field	Corpus Christi	United States	false
NGX	Manang	Manang	Nepal	false
NHA	Nha Trang	Nha Trang	Vietnam	false
NHD	Minhad AB	Dubai	United Arab Emirates	false
NHF	New Halfa	New Halfa	Sudan	false
NHK	Patuxent River NAS	Patuxent River	United States	false
NHS	Nushki	Nushki	Pakistan	false
NHT	Northolt	Northolt	United Kingdom	false
NHV	Nuku Hiva	Nuku Hiva	French Polynesia	false
NHX	Barin Olf Osn	Foley	United States	false
NHZ	NAS	Brunswick	United States	false
NIA	Nimba	Nimba	Liberia	false
NIB	Nikolai	Nikolai	United States	false
NIE	Niblack	Niblack	United States	false
NIF	Nifty	Nifty	Australia	false
NIG	Nikunau	Nikunau	Kiribati	false
NIK	Niokolo Koba	Niokolo Koba	Senegal	false
NIM	Niamey	Niamey	Niger	false
NIN	Ninilchik	Ninilchik	United States	false
NIO	Nioki	Nioki	Democratic Republic of the Congo	false
NIP	Jacksonville NAS	Jacksonville	United States	false
NIR	Chase Field NAS	Beeville	United States	false
NIS	Simberi	Simberi Island	Papua New Guinea	false
NIT	Niort	Niort	France	false
NIU	Niau	Niau	French Polynesia	false
NIX	Nioro	Nioro	Mali	false
NJA	Atsugi NAS	Atsugi	Japan	false
NJC	Nizhnevartovsk	Nizhnevartovsk	Russia	false
NJF	Al-Ashraf International	Al Najaf	Iraq	false
NJK	El Centro NAF	Imperial	United States	false
NKA	Nkan	Nkan	Gabon	false
NKC	Nouakchott	Nouakchott	Mauritania	false
NKD	Sinak	Sinak	Indonesia	false
NKG	Nanjing Lukou International Airport	Nanjing	China	true
NKI	Naukiti	Naukiti	United States	false
NKL	Nkolo	Nkolo	Democratic Republic of the Congo	false
NKM	Komaki AFB	Nagoya	Japan	false
NKN	Nankina	Nankina	Papua New Guinea	false
NKO	Ankokoambo	Ankokoambo	Madagascar	false
NKS	Nkongsamba	Nkongsamba	Cameroon	false
NKU	Nkaus	Nkaus	Lesotho	false
NKV	Nichen Cove	Nichen Cove	United States	false
NKX	Miramar MS	San Diego	United States	false
NKY	Nkayi	Nkayi	Republic of the Congo	false
NLA	Ndola	Ndola	Zambia	false
NLC	Lemoore NAS (Reeves Field)	Lemoore	United States	false
NLD	International Quetzalcoatl	Nuevo Laredo	Mexico	false
NLE	Jerry Tyler Memorial	Niles	United States	false
NLF	Darnley Island	Darnley Island	Australia	false
NLG	Nelson Lagoon	Nelson Lagoon	United States	false
NLK	Norfolk Island	Norfolk Island	Norfolk Island	false
NLL	Nullagine	Nullagine	Australia	false
NLN	Kneeland	Kneeland	United States	false
NLO	N'dolo	Kinshasa	Democratic Republic of the Congo	false
NLP	Nelspruit Airport	Nelspruit	South Africa	false
NLS	Nicholson	Nicholson	Australia	false
NLT	Nalati	Xinyuan	China	false
NLU	Santa Lucia	Mexico City	Mexico	false
NLV	Nikolaev (Mykolaiv)	Nikolaev	Ukraine	false
NMA	Namangan	Namangan	Uzbekistan	false
NMB	Daman	Daman	India	false
NMC	Norman's Cay	Norman's Cay	Bahamas	false
NME	Nightmute	Nightmute	United States	false
NMG	San Miguel	San Miguel	Panama	false
NML	Mildred Lake	Mildred Lake	Canada	false
NMN	Nomane	Nomane	Papua New Guinea	false
NMP	New Moon	New Moon	Australia	false
NMR	Nappa Merry	Nappa Merry	Australia	false
NMS	Namsang	Namsang	Myanmar	false
NMT	Namtu	Namtu	Myanmar	false
NMU	Namu	Namu	Marshall Islands	false
NNA	NAF	Kenitra	Morocco	false
NNB	Santa Ana	Santa Ana	Solomon Islands	false
NND	Nangade	Nangade	Mozambique	false
NNG	Wuxu	Nanning	China	true
NNI	Namutoni	Namutoni	Namibia	false
NNK	Naknek	Naknek	United States	false
NNL	Nondalton	Nondalton	United States	false
NNM	Naryan-Mar	Naryan-Mar	Russia	false
NNR	Connemara	Spiddal	Ireland	false
NNT	Nan	Nan	Thailand	false
NNU	Nanuque	Nanuque	Brazil	false
NNX	Nunukan	Nunukan	Indonesia	false
NNY	Jiangying	Nanyang	China	true
NOA	Nowra	Nowra	Australia	false
NOB	Nosara Beach	Nosara Beach	Costa Rica	false
NOC	Ireland West Airport Knock	Knock	Ireland	false
NOD	Norden	Norden	Germany	false
NOG	Nogales	Nogales	Mexico	false
NOH	Chicago NAS	Chicago	United States	false
NOI	Novorossijsk	Novorossijsk	Russia	false
NOJ	Noyabrsk	Nojabrsk	Russia	true
NOK	Nova Xavantina	Nova Xavantina	Brazil	false
NOL	Nakolik River	Nakolik River	United States	false
NOM	Nomad River	Nomad River	Papua New Guinea	false
NON	Nonouti	Rotima	Kiribati	false
NOO	Naoro	Naoro	Papua New Guinea	false
NOP	Sinop	Sinop	Turkey	false
NOR	Nordfjordur	Nordfjordur	Iceland	false
NOS	Fascene	Nossi-Be	Madagascar	false
NOT	Novato	Novato	United States	false
NOU	Tontouta	Noumea	New Caledonia	false
NOV	Huambo	Huambo	Angola	false
NOZ	Novokuznetsk	Novokuznetsk	Russia	true
NPA	Pensacola NAS	Pensacola	United States	false
NPE	Hawkes Bay	Napier	New Zealand	false
NPG	Nipa	Nipa	Papua New Guinea	false
NPH	Nephi	Nephi	United States	false
NPL	New Plymouth	New Plymouth	New Zealand	false
NPO	Nangapinoh	Nangapinoh	Indonesia	false
NPP	Napperby	Napperby	Australia	false
NPR	Novo Progresso Municipal	Novo Progresso	Brazil	false
NPT	State	Newport	United States	false
NPU	San Pedro Uraba	San Pedro Uraba	Colombia	false
NQA	Millington Regional Jetport	Memphis	United States	false
NQI	NAS	Kingsville	United States	false
NQL	Niquelandia	Niquelandia	Brazil	false
NQN	Neuquen	Neuquen	Argentina	false
NQT	Nottingham Airport	Nottingham	United Kingdom	false
NQU	Nuqui	Nuqui	Colombia	false
NQX	Key West NAS /Boca Chica Field (private U. S. Navy )	Key West	United States	false
NQY	Newquay Cornwall Airport	Newquay	United Kingdom	false
NQZ	Nursultan Nazarbayev	Astana	Kazakhstan	true
NRA	Narrandera	Narrandera	Australia	false
NRB	Naval Station	Mayport	United States	false
NRD	Norderney	Norderney	Germany	false
NRE	Namrole	Namrole	Indonesia	false
NRG	Narrogin	Narrogin	Australia	false
NRI	Shangri-la	Shangri-la	United States	false
NRK	Kungsangen	Norrkoping	Sweden	false
NRL	North Ronaldsay	North Ronaldsay	United Kingdom	false
NRM	Nara	Nara	Mali	false
NRN	Weeze	Dusseldorf	Germany	false
NRR	Roosevelt NAS	Roosevelt Roads	Puerto Rico	false
NRS	NAS	Imperial Beach	United States	false
NRT	Narita International Airport	Tokyo	Japan	false
NRY	Newry	Newry	Australia	false
NSB	North SPB	Bimini	Bahamas	false
NSE	Whiting Field NAS	Milton	United States	false
NSF	Andrews NAF	Camp Springs	United States	false
NSH	Now Shahr	Now Shahr	Iran	false
NSI	Nsimalen International	Yaounde	Cameroon	false
NSK	Norilsk	Norilsk	Russia	false
NSL	Slayton Municipal	Slayton	United States	false
NSM	Norseman	Norseman	Australia	false
NSN	Nelson	Nelson	New Zealand	false
NSO	Scone	Scone	Australia	false
NSP	NAF	Sangley Point	Philippines	false
NST	Nakhon Si Thammarat	Nakhon Si Thammarat	Thailand	false
NSV	Noosaville	Noosaville	Australia	false
NSX	Hovercraft/Launch Pt	Nord Sound	British Virgin Islands	false
NSY	NAS Sigonella	Sigonella	Italy	false
NSZ	Nansha Ferry Port	Nansha	China	false
NTB	Notodden	Notodden	Norway	false
NTC	Santa Carolina	Santa Carolina	Mozambique	false
NTD	Point Mugu NAS (Naval Base Ventura County	Port Hueneme	United States	false
NTE	Nantes Atlantique	Nantes	France	true
NTG	Nantong	Nantong	China	false
NTI	Bintuni	Bintuni	Indonesia	false
NTJ	Manti-Ephraim	Manti	United States	false
NTL	Williamtown	Newcastle	Australia	false
NTM	Miracema Do Norte	Miracema Do Norte	Brazil	false
NTN	Normanton	Normanton	Australia	false
NTO	Santo Antao	Santo Antao	Cape Verde	false
NTQ	Noto Airport	Wajima	Japan	false
NTR	Aeropuerto del Norte International Airport	Monterrey	Mexico	false
NTT	Kuini Lavenia	Niuatoputapu	Tonga	false
NTU	NAS	Oceana	United States	false
NTX	Natuna Ranai	Natuna Ranai	Indonesia	false
NTY	Pilanesberg	Sun City	South Africa	false
NUA	Gregory's Lake	Nuwara Eliya	Sri Lanka	false
NUB	Numbulwar	Numbulwar	Australia	false
NUD	En Nahud	En Nahud	Sudan	false
NUE	Nuremberg	Nürnberg	Germany	false
NUF	Castlereigh Reservoir	Hatton	Sri Lanka	false
NUG	Nuguria	Nuguria	Papua New Guinea	false
NUH	Nunchia	Nunchia	Colombia	false
NUI	Nuiqsut	Nuiqsut	United States	false
NUJ	Nojeh	Nojeh	Iran	false
NUK	Nukutavake	Nukutavake	French Polynesia	false
NUL	Nulato	Nulato	United States	false
NUM	Neom Bay Airport	Tabuk	Saudi Arabia	true
NUN	Saufley NAS	Pensacola	United States	false
NUP	Nunapitchuk	Nunapitchuk	United States	false
NUQ	Moffett Field	Mountain View	United States	false
NUR	Nullarbor	Nullarbor	Australia	false
NUS	Norsup	Norsup	Vanuatu	false
NUT	Nutuve	Nutuve	Papua New Guinea	false
NUU	Nakuru	Nakuru	Kenya	false
NUW	Whidbey Island NAS (Ault Field)	Whidbey Island	United States	false
NUX	Novy Urengoy	Novy Urengoy	Russia	true
NVA	La Marguita	Neiva	Colombia	false
NVD	Nevada	Nevada	United States	false
NVG	Nueva Guinea	Nueva Guinea	Nicaragua	false
NVI	Navoi International Airport	Navoi	Uzbekistan	false
NVK	Framnes	Narvik	Norway	false
NVN	Nervino	Beckwourth	United States	false
NVP	Novo Aripuana	Novo Aripuana	Brazil	false
NVR	Novgorod	Novgorod	Russia	false
NVS	Nevers	Nevers	France	false
NVT	Navegantes	Navegantes	Brazil	true
NVY	Neyveli	Neyveli	India	false
NWA	Moheli	Moheli	Comoros	false
NWH	Parlin Field	Newport	United States	false
NWI	Norwich International Airport	Norwich	United Kingdom	true
NWP	NS	Argentia	Canada	false
NWS	Pier 11/Wall St. SPB	New York	United States	false
NWT	Nowata	Nowata	Papua New Guinea	false
NWU	Bermuda NAS	St. George	Bermuda	false
NXX	Willow Grove NAS	Willow Grove	United States	false
NYA	Nyagan	Nyagan	Russia	false
NYE	Nyeri	Nyeri	Kenya	false
NYG	Quantico NAS	Quantico	United States	false
NYI	Sunyani	Sunyani	Ghana	false
NYK	Nanyuki	Nanyuki	Kenya	false
NYM	Nadym	Nadym	Russia	false
NYN	Nyngan	Nyngan	Australia	false
NYO	Skavsta	Stockholm	Sweden	false
NYT	Nay Pyi Taw	Nay Pyi Taw	Myanmar	false
NYU	Nyaung-u	Nyaung-u	Myanmar	false
NZA	Nzagi	Nzagi	Angola	false
NZE	Nzerekore	Nzerekore	Guinea	false
NZH	Manzhouli	Manzhouli	China	false
NZW	South Weymouth	South Weymouth	United States	false
NZY	North Island NAS	San Diego	United States	false
OAA	Shank Air Base	Shank	Afghanistan	false
OAG	Springhill	Orange	Australia	false
OAH	Shindand Air Base	Shindand	Afghanistan	false
OAI	Bagram	Bagram	Afghanistan	false
OAJ	Albert J Ellis	Jacksonville	United States	false
OAK	Oakland International	Oakland	United States	true
OAL	Cacoal	Cacoal	Brazil	false
OAM	Oamaru	Oamaru	New Zealand	false
OAN	Olanchito	Olanchito	Honduras	false
OAR	Marina Municipal	Monterey	United States	false
OAS	Sharana Air Base	Sharana	Afghanistan	false
OAX	Xoxocotlan	Oaxaca	Mexico	false
OAZ	Camp Bastion	Camp Bastion	Afghanistan	false
OBA	Oban	Oban	Australia	false
OBC	Obock	Obock	Djibouti	false
OBD	Obano	Obano	Indonesia	false
OBE	County	Okeechobee	United States	false
OBF	Oberpfaffenhofen	Oberpfaffenhofen	Germany	false
OBI	Obidos	Obidos	Brazil	false
OBL	Zoersel	Zoersel	Belgium	false
OBM	Morobe	Morobe	Papua New Guinea	false
OBN	Oban Airport	Oban	United Kingdom	false
OBO	Obihiro	Obihiro	Japan	false
OBS	Vals-Lanas	Aubenas	France	false
OBT	Oakland/Coliseum Stat	Oakland	United States	false
OBU	Kobuk/Wien	Kobuk	United States	false
OBX	Obo	Obo	Papua New Guinea	false
OBY	Ittoqqortoormiit	Ittoqqortoormiit	Greenland	false
OBZ	Hamburg Bus Station	Hamburg	Germany	false
OCA	Ocean Reef	Ocean Reef	United States	false
OCC	Coca	Coca	Ecuador	false
OCE	Municipal	Ocean City	United States	false
OCF	Taylor Field	Ocala	United States	false
OCH	A L Mangham Jr. Regional	Nacogdoches	United States	false
OCI	Oceanic	Oceanic	United States	false
OCJ	Boscobel	Ocho Rios	Jamaica	false
OCN	Municipal	Oceanside	United States	false
OCV	Aguasclaras	Ocana	Colombia	false
OCW	Warren Field	Washington	United States	false
ODA	Ouadda	Ouadda	Central African Republic	false
ODB	Cordoba	Cordoba	Spain	false
ODC	Oakdale	Oakdale	United States	false
ODD	Oodnadatta	Oodnadatta	Australia	false
ODE	Beldringe	Odense	Denmark	false
ODH	RAF Station	Odiham	United Kingdom	false
ODJ	Ouanda Djalle	Ouanda Djalle	Central African Republic	false
ODL	Cordillo Downs	Cordillo Downs	Australia	false
ODN	Long Seridan	Long Seridan	Malaysia	false
ODO	Bodaybo	Bodaybo	Russia	false
ODR	Ord River	Ord River	Australia	false
ODS	Odessa International	Odessa	Ukraine	false
ODW	Oak Harbor	Oak Harbor	United States	false
ODY	Oudomxai	Oudomxay	Laos	false
OEA	Oneal	Vincennes	United States	false
OEC	Ocussi	Ocussi	East Timor	false
OEL	Orel	Orel	Russia	false
OEM	Vincent Fayks	Paloemeu	Suriname	false
OEO	L.O. Simenstad Muni	Osceola	United States	false
OER	Ornskoldsvik	Ornskoldsvik	Sweden	false
OES	San Antonio Oeste	San Antonio Oeste	Argentina	false
OFI	Ouango Fitini	Ouango Fitini	Ivory Coast	false
OFJ	Olafsfjordur	Olafsfjordur	Iceland	false
OFK	Stefan Field	Norfolk	United States	false
OFU	Ofu Island	Vaoto	American Samoa	false
OGA	Searle Field	Ogallala	United States	false
OGB	Municipal	Orangeburg	United States	false
OGD	Municipal	Ogden	United States	false
OGE	Ogeranang	Ogeranang	Papua New Guinea	false
OGG	Kahului	Maui	United States	false
OGL	Ogle	Ogle	Guyana	false
OGM	Ogobsucum	Ustupu Island	Panama	false
OGN	Yonaguni Jima	Yonaguni Jima	Japan	false
OGO	Abengourou	Abengourou	Ivory Coast	false
OGR	Bongor	Bongor	Chad	false
OGS	Ogdensburg	Ogdensburg	United States	false
OGV	Ongava Game Reserve	Ongava Game Reserve	Namibia	false
OGX	Ain Beida	Ouargla	Algeria	false
OGZ	Beslan	Vladikavkaz	Russia	true
OHA	Royal Air Force Base	Ohakea	New Zealand	false
OHB	Ambohibary	Moramanga	Madagascar	false
OHC	AFS	Northeast Cape	United States	false
OHD	St.Paul the Apostle	Ohrid	North Macedonia	true
OHE	Gulian	Mohe	China	false
OHH	Novostroyka	Okha	Russia	false
OHI	Oshakati	Oshakati	Namibia	false
OHO	Okhotsk	Okhotsk	Russia	false
OHR	Wyk Auf Foehr	Wyk Auf Foehr	Germany	false
OHT	Kohat	Kohat	Pakistan	false
OIA	Ourilandia	Ourilandia	Brazil	false
OIC	Eaton	Norwich	United States	false
OIM	Oshima	Oshima	Japan	false
OIR	Okushiri	Okushiri	Japan	false
OIT	Oita	Oita	Japan	false
OJC	Johnson Executive	Kansas City	United States	false
OKA	Naha	Okinawa	Japan	false
OKB	Fraser Island	Orchid Beach	Australia	false
OKC	Will Rogers World Airport	Oklahoma City	United States	false
OKD	Okadama	Sapporo	Japan	false
OKE	Okino Erabu	Okino Erabu	Japan	false
OKF	Okaukuejo	Okaukuejo	Namibia	false
OKG	Okoyo	Okoyo	Republic of the Congo	false
OKH	Cottesmor RAF	Oakham	United Kingdom	false
OKI	Oki Island	Oki Island	Japan	false
OKJ	Okayama	Okayama	Japan	false
OKK	Kokomo	Kokomo	United States	false
OKL	Oksibil	Oksibil	Indonesia	false
OKM	Okmulgee	Okmulgee	United States	false
OKN	Okondja	Okondja	Gabon	false
OKO	Yokota AFB	Tokyo	Japan	false
OKP	Oksapmin	Oksapmin	Papua New Guinea	false
OKQ	Okaba	Okaba	Indonesia	false
OKR	Yorke Island	Yorke Island	Australia	false
OKS	Oshkosh	Oshkosh	United States	false
OKT	Oktiabrskij	Oktiabrskij	Russia	false
OKU	Mokuti Lodge	Mokuti Lodge	Namibia	false
OKV	Okao	Okao	Papua New Guinea	false
OKY	Oakey	Oakey	Australia	false
OLA	Orland	Orland	Norway	false
OLB	Costa Smeralda	Olbia	Italy	false
OLC	Sen. Eunice Micheles	Sao Paulo de Olivenca	Brazil	false
OLD	Old Town	Old Town	United States	false
OLE	Municipal	Olean	United States	false
OLF	International	Wolf Point	United States	false
OLH	Old Harbor SPB	Old Harbor	United States	false
OLI	Rif	Olafsvik	Iceland	false
OLJ	Olpoi	Olpoi	Vanuatu	false
OLK	Fuerte Olimpo	Fuerte Olimpo	Paraguay	false
OLL	Ollombo	Oyo	Republic of the Congo	false
OLM	Olympia	Olympia	United States	false
OLN	Colonia Sarmiento	Colonia Sarmiento	Argentina	false
OLO	Olomouc	Olomouc	Czech Republic	false
OLP	Olympic Dam	Olympic Dam	Australia	false
OLQ	Olsobip	Olsobip	Papua New Guinea	false
OLR	Salerno Air Base	Salerno	Afghanistan	false
OLS	International	Nogales	United States	false
OLU	Columbus Municipal	Columbus	United States	false
OLV	Olive Branch Airport	Olive Branch	United States	false
OLY	Olney-Noble	Olney	United States	false
OMA	Eppley Airfield	Omaha	United States	false
OMB	Omboue	Omboue	Gabon	false
OMC	Ormoc	Ormoc	Philippines	false
OMD	Oranjemund	Oranjemund	Namibia	false
OME	Nome	Nome	United States	false
OMF	King Hussein	Mafraq	Jordan	false
OMG	Omega	Omega	Namibia	false
OMH	Urmieh	Urmieh	Iran	false
OMI	Omidieh	Omidieh	Iran	false
OMJ	Omura	Omura	Japan	false
OMK	Municipal	Omak	United States	false
OMM	Marmul	Marmul	Oman	false
OMO	Mostar	Mostar	Bosnia and Herzegovina	true
OMR	Oradea	Oradea	Romania	false
OMS	Tsentralny	Omsk	Russia	true
OMY	Oddor Meanche	Oddor Meanche	Cambodia	false
ONA	Municipal	Winona	United States	false
ONB	Ononge	Ononge	Papua New Guinea	false
OND	Ondangwa	Ondangwa	Namibia	false
ONE	Onepusu	Onepusu	Solomon Islands	false
ONG	Mornington	Mornington	Australia	false
ONH	Municipal	Oneonta	United States	false
ONI	Moanamani	Moanamani	Indonesia	false
ONJ	Odate Noshiro	Odate Noshiro	Japan	false
ONL	Municipal	Oneill	United States	false
ONM	Socorro	Socorro	United States	false
ONN	Onion Bay	Onion Bay	United States	false
ONO	Ontario Municipal Airport	Ontario	United States	false
ONP	Newport	Newport	United States	false
ONQ	Zonguldak	Zonguldak	Turkey	false
ONR	Monkira	Monkira	Australia	false
ONS	Onslow	Onslow	Australia	false
ONT	Ontario International	Ontario	United States	true
ONU	Ono I Lau	Ono I Lau	Fiji	false
ONX	Enrique Adolfo Jimenez	Colon	Panama	false
ONY	Olney	Olney	United States	false
OOA	Municipal	Oskaloosa	United States	false
OOK	Toksook Bay	Toksook Bay	United States	false
OOL	Gold Coast (Coolangatta)	Gold Coast	Australia	false
OOM	Cooma	Cooma	Australia	false
OOR	Mooraberree	Mooraberree	Australia	false
OOT	Onotoa	Onotoa	Kiribati	false
OPA	Kopasker	Kopasker	Iceland	false
OPB	Open Bay	Open Bay	Papua New Guinea	false
OPF	Opa Locka	Miami	United States	false
OPI	Oenpelli	Oenpelli	Australia	false
OPL	St Landry Parish	Opelousas	United States	false
OPO	Francisco Sa Carneiro	Porto	Portugal	false
OPS	Sinop	Sinop	Brazil	false
OPU	Balimo	Balimo	Papua New Guinea	false
OPW	Opuwa	Opuwa	Namibia	false
ORA	Oran	Oran	Argentina	false
ORB	Orebro-bofors	Orebro	Sweden	false
ORC	Orocue	Orocue	Colombia	false
ORD	Chicago O'hare International	Chicago	United States	true
ORE	Orleans	Orleans	France	false
ORF	Norfolk International Airport	Norfolk	United States	false
ORG	Zorg En Hoop	Paramaribo	Suriname	false
ORH	Worcester Regional Airport	Worcester	United States	false
ORI	Port Lions SPB	Port Lions	United States	false
ORJ	Orinduik	Orinduik	Guyana	false
ORK	Cork	Cork	Ireland	false
ORL	Orlando Executive	Orlando	United States	false
ORM	Northampton	Northampton	United Kingdom	false
ORN	Es Senia	Oran	Algeria	false
ORO	Yoro	Yoro	Honduras	false
ORP	Orapa	Orapa	Botswana	false
ORQ	Heliport	Norwalk	United States	false
ORR	Yorketown	Yorketown	Australia	false
ORS	Waterport	Orpheus Island Resort	Australia	false
