iata	airport	city	country	prominent
GEG	Spokane International	Spokane	United States	false
GEI	Green Islands	Green Islands	Papua New Guinea	false
GEK	Ganes Creek	Ganes Creek	United States	false
GEL	Sepe Tiaraju	Santo Angelo	Brazil	false
GEN	Oslo - Gardermoen Airport	Puente Genil	Spain	false
GEO	Cheddi Jagan International	Georgetown	Guyana	false
GER	Rafael Cabrera	Nueva Gerona	Cuba	false
GES	General Santos International	General Santos	Philippines	false
GET	Geraldton	Geraldton	Australia	false
GEV	Gallivare	Gallivare	Sweden	false
GEW	Gewoia	Gewoia	Papua New Guinea	false
GEX	Geelong	Geelong	Australia	false
GEY	South Big Horn County	Greybull	United States	false
GFA	Malmstrom AFB	Great Falls	United States	false
GFB	Togiak Fish	Togiak Fish	United States	false
GFD	Pope Field	Greenfield	United States	false
GFE	Grenfell	Grenfell	Australia	false
GFF	Griffith	Griffith	Australia	false
GFK	Grand Forks	Grand Forks	United States	false
GFL	Warren County	Glens Falls	United States	false
GFN	Grafton	Grafton	Australia	false
GFO	Bartica	Bartica	Guyana	false
GFR	Granville	Granville	France	false
